City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bengkulu,ID,76.86,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Saint-Philippe,RE,84.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
10,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
11,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
17,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
25,Am Timan,TD,89.56,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
31,Rio Grande,BR,77.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
35,Bontang,ID,79.9,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
40,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Bambous Virieux,MU,80.6,few clouds,-20.3428,57.7575,Casa Tia Villa
45,Castro,BR,76.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
47,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
52,Tshikapa,CD,78.55,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
53,Port Alfred,ZA,77.0,few clouds,-33.5906,26.891,The Halyards Hotel
55,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
56,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Benguela,AO,80.89,clear sky,-12.5763,13.4055,Hotel Praia Morena
66,Chuy,UY,79.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
68,Butaritari,KI,80.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
69,Presidencia Roque Saenz Pena,AR,87.01,clear sky,-26.7852,-60.4388,Hotel Gualok
73,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
74,Trairi,BR,88.38,scattered clouds,-3.2778,-39.2689,janelas do mar
76,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
80,Shakawe,BW,78.71,light rain,-18.3667,21.85,Ditlhapi Guest House
92,Cape Town,ZA,79.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
97,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Gorontalo,ID,75.09,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
106,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
110,Sinnamary,GF,80.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
122,Samarai,PG,82.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
124,Corn Island,NI,81.34,overcast clouds,12.1694,-83.0418,Big Fish Guest House
129,Axim,GH,83.88,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
131,Fare,PF,81.66,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
132,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
140,Zemio,CF,87.87,overcast clouds,5.0314,25.1361,OCHA Office
144,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
146,Kupang,ID,79.63,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
152,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
156,Caravelas,BR,82.89,light rain,-17.7125,-39.2481,Pousada dos Navegantes
157,Port Elizabeth,ZA,82.4,few clouds,-33.918,25.5701,39 On Nile Guest House
158,Hukuntsi,BW,80.29,light rain,-24.0,21.75,Entabeni Hotel
166,Mayumba,GA,81.48,broken clouds,-3.432,10.6554,LIKWALE LODGE
169,Saint-Pierre,RE,82.4,light rain,-21.3393,55.4781,Lindsey Hôtel
174,Emerald,AU,84.2,overcast clouds,-23.5333,148.1667,The Irish Village
185,Cabedelo,BR,89.6,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
189,Cidreira,BR,75.22,broken clouds,-30.1811,-50.2056,Hotel Castelo
191,Kishapu,TZ,76.51,overcast clouds,-3.6167,33.8667,Special seat Guest House
195,Palu,ID,76.08,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
200,Antalaha,MG,78.93,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
201,Novo Aripuana,BR,82.49,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
205,Auki,SB,78.71,overcast clouds,-8.7676,160.7034,Auki Motel
210,Cayenne,GF,78.8,mist,4.9333,-52.3333,Hôtel Le Dronmi
214,Saint James,BB,84.2,scattered clouds,13.2167,-59.6167,Legend Garden Condos
220,Farafangana,MG,81.79,light rain,-22.8167,47.8333,Miarina
225,Abeche,TD,87.8,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
229,Machiques,VE,88.0,broken clouds,10.0644,-72.545,hotel el markes
230,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
231,Santa Rosa,PH,79.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
235,Bandarbeyla,SO,76.8,few clouds,9.4942,50.8122,JABIR HOTEL
238,Tagusao,PH,77.92,overcast clouds,9.1924,117.8141,Toledo
245,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
247,Bilma,NE,81.05,few clouds,18.6853,12.9164,Expeditions Ténére voyages
251,Santa Vitoria Do Palmar,BR,78.89,clear sky,-33.5189,-53.3681,Hostel Comodoro
255,Kanigoro,ID,75.0,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
258,Dabeiba,CO,87.75,overcast clouds,7.0017,-76.2672,Hotel Amerindia
259,Labuhan,ID,78.87,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
262,Lorengau,PG,81.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Tomatlan,MX,80.04,overcast clouds,19.9333,-105.25,Norma franco
270,Buala,SB,80.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
274,Maldonado,UY,80.01,clear sky,-34.6667,-54.9167,La Cimarrona
278,Port Blair,IN,79.14,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
279,Saldanha,ZA,77.0,few clouds,-33.0117,17.9442,Blue Bay Lodge
281,Carutapera,BR,89.71,broken clouds,-1.195,-46.02,Lidera
289,Isangel,VU,77.76,clear sky,-19.55,169.2667,Volcano Sea View Tree House
292,Kruisfontein,ZA,78.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
293,Ambanja,MG,77.52,light rain,-13.6833,48.45,Hotel Salama and Fast Food
295,Fayaoue,NC,79.34,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
297,Kulhudhuffushi,MV,82.27,broken clouds,6.6221,73.07,Haajy Guest House 1
298,Namibe,AO,75.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
310,Maragogi,BR,86.36,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
311,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
314,Nsanje,MW,85.42,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
316,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
318,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
324,Hwange,ZW,79.97,light rain,-18.3693,26.5019,Hwange Colliery Guest House
