City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rohnert Park,US,38.3396,-122.7011,53.01,81,1,0.6,clear sky
1,Rikitea,PF,-23.1203,-134.9692,77.38,72,96,12.06,overcast clouds
2,Coolum Beach,AU,-26.5333,153.1,77.0,97,96,10.69,overcast clouds
3,Albany,US,42.6001,-73.9662,28.99,75,100,4.45,snow
4,Jamestown,US,42.097,-79.2353,19.99,73,90,17.27,light snow
5,Bluff,NZ,-46.6,168.3333,54.05,85,100,5.1,overcast clouds
6,Damaturu,NG,11.747,11.9608,80.58,17,49,8.52,scattered clouds
7,Lukulu,ZM,-14.3707,23.242,71.37,90,100,1.03,light rain
8,Kharp,RU,66.8014,65.8081,-3.55,90,100,14.54,light snow
9,Barrow,US,71.2906,-156.7887,-22.0,76,90,10.36,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,69.8,56,0,24.16,clear sky
11,Manthani,IN,18.65,79.6667,65.32,27,85,6.62,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,14.97,snow
13,Atar,MR,20.5169,-13.0499,73.15,21,0,15.12,clear sky
14,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,40,8.05,scattered clouds
15,Cidreira,BR,-30.1811,-50.2056,76.41,62,35,10.42,scattered clouds
16,Yellowknife,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
17,Tomatlan,MX,19.9333,-105.25,87.69,44,13,4.21,few clouds
18,Katsuura,JP,35.1333,140.3,44.6,53,0,12.66,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,17.27,light rain
20,Qaanaaq,GL,77.484,-69.3632,12.85,86,100,6.02,overcast clouds
21,Fairbanks,US,64.8378,-147.7164,-14.01,76,1,3.44,clear sky
22,Ushuaia,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
23,Hilo,US,19.7297,-155.09,63.0,59,1,9.22,clear sky
24,Mataura,NZ,-46.1927,168.8643,50.13,89,98,1.7,overcast clouds
25,Esso,RU,55.9333,158.7,23.02,93,89,12.93,snow
26,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,10.36,light rain
27,Busselton,AU,-33.65,115.3333,63.0,99,100,9.13,overcast clouds
28,Butaritari,KI,3.0707,172.7902,80.64,81,43,18.21,scattered clouds
29,Mahebourg,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
30,Barcelos,PT,41.5388,-8.6151,50.0,100,90,19.57,light intensity drizzle
31,Kuching,MY,1.55,110.3333,75.2,100,20,3.44,few clouds
32,Ust-Nera,RU,64.5667,143.2,-10.34,75,96,5.93,overcast clouds
33,Moron,AR,-34.6534,-58.6198,93.99,33,0,5.01,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,19.4,58,0,2.3,clear sky
35,Keita,NE,14.7551,5.7749,89.6,8,41,4.61,scattered clouds
36,Hobart,AU,-42.8794,147.3294,53.6,62,40,5.75,scattered clouds
37,Gizo,SB,-8.103,156.8419,82.33,78,57,8.21,light rain
38,Ulladulla,AU,-35.35,150.4667,66.0,77,90,10.36,overcast clouds
39,Avarua,CK,-21.2078,-159.775,78.8,89,1,3.44,clear sky
40,Najran,SA,17.4924,44.1277,69.8,35,31,4.61,scattered clouds
41,Padang,ID,-0.9492,100.3543,78.8,89,20,2.3,light rain
42,Mar Del Plata,AR,-38.0023,-57.5575,63.0,100,90,12.66,moderate rain
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,68,1,28.77,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,64.4,27,0,12.66,clear sky
45,New Norfolk,AU,-42.7826,147.0587,53.6,62,40,5.75,scattered clouds
46,Hami,CN,42.8,93.45,30.97,80,36,4.41,scattered clouds
47,Bredasdorp,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
