City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-02-05 19:40,-53.15,-70.9167,59,38,0,28.77
1,Avarua,CK,2021-02-05 19:39,-21.2078,-159.775,82.4,74,96,3.44
2,Viedma,AR,2021-02-05 19:48,-40.8135,-62.9967,102.99,15,0,1.99
3,Albany,US,2021-02-05 19:35,42.6001,-73.9662,42.01,56,90,5.44
4,Wanning,CN,2021-02-05 19:48,18.8003,110.3967,67.39,89,34,4.43
5,Rikitea,PF,2021-02-05 19:39,-23.1203,-134.9692,78.94,68,0,10.76
6,Cape Town,ZA,2021-02-05 19:40,-33.9258,18.4232,70,83,0,18.41
7,Hermanus,ZA,2021-02-05 19:40,-34.4187,19.2345,71.01,81,8,3
8,Saint-Philippe,RE,2021-02-05 19:39,-21.3585,55.7679,80.6,61,20,4.61
9,Coihaique,CL,2021-02-05 19:40,-45.5752,-72.0662,84.2,34,0,6.91
10,Stornoway,GB,2021-02-05 19:48,58.2093,-6.3865,39.2,65,75,20.71
11,Ancud,CL,2021-02-05 19:44,-41.8697,-73.8203,84.2,30,0,9.22
12,Gimbi,ET,2021-02-05 19:48,9.1667,35.8333,56.48,38,39,1.05
13,Cockburn Town,TC,2021-02-05 19:42,21.4612,-71.1419,80.6,69,40,13.8
14,Kavieng,PG,2021-02-05 19:42,-2.5744,150.7967,80.51,78,100,10.13
15,Cayenne,GF,2021-02-05 19:41,4.9333,-52.3333,80.6,83,90,14.97
16,Cabo San Lucas,MX,2021-02-05 19:36,22.8909,-109.9124,84.99,31,20,4.61
17,Longyearbyen,SJ,2021-02-05 19:39,78.2186,15.6401,19.4,93,90,3.44
18,Noshiro,JP,2021-02-05 19:48,40.2039,140.0242,44.49,72,91,15.79
19,Mporokoso,ZM,2021-02-05 19:48,-9.3727,30.125,65.08,90,100,1.19
20,San Cristobal,VE,2021-02-05 19:48,7.7669,-72.225,86,51,40,17.27
21,Carnarvon,AU,2021-02-05 19:41,-24.8667,113.6333,80.6,79,90,20.71
22,Ushuaia,AR,2021-02-05 19:38,-54.8,-68.3,50,62,75,27.63
23,Saskylakh,RU,2021-02-05 19:40,71.9167,114.0833,-24.95,85,91,8.23
24,New Norfolk,AU,2021-02-05 19:40,-42.7826,147.0587,64.99,93,100,3.49
25,Mvangue,CM,2021-02-05 19:48,2.9667,11.5167,72.88,83,99,3.38
26,Chicama,PE,2021-02-05 19:48,-7.8447,-79.1469,71.6,83,23,11.5
